1	14	14	14
2	20	18	19
3	26	1	18
4	17	4	17
5	13	3	13
6	12	4	17
7	4	10	16
8	21	21	16
9	1	19	12
10	2	22	18
11	6	5	14
12	7	11	18
13	6	12	16
14	11	25	16
15	18	16	15
16	14	19	15
17	17	22	19
18	16	11	15
19	11	20	16
20	13	24	15
21	12	1	16
22	10	7	11
23	12	5	11
24	8	20	17
25	4	4	16
26	45	25	20
27	46	25	17
28	27	45	18
29	49	35	20
30	39	48	11
31	34	45	19
32	30	47	20
33	46	45	13
34	29	29	13
35	50	26	11
36	49	29	17
37	25	40	17
38	40	44	13
39	39	30	16
40	27	33	13
41	37	26	13
42	35	48	18
43	42	35	14
44	25	40	18
45	39	41	16
46	48	41	12
47	41	26	12
48	35	27	14
49	41	31	14
50	37	31	16
