1	28.700001	29.799999	4474	100
2	71.800003	77.199997	4474	100
3	91.900002	90.900002	4474	100
4	60.900002	35.099998	4474	100
5	61.200001	10.600000	4474	100
6	81.300003	2.800000	4474	100
7	26.799999	13.500000	4474	100
8	20.100000	95.900002	4474	100
9	87.800003	57.799999	4474	100
10	48.400002	49.500000	4474	100
11	86.400002	43.400002	4474	100
12	12.000000	90.199997	4474	100
13	14.200000	90.300003	4474	100
14	23.500000	57.400002	4474	100
15	66.400002	74.800003	4474	100
16	49.200001	11.500000	4474	100
17	76.400002	19.299999	4474	100
18	27.400000	43.000000	4474	100
19	36.799999	46.799999	4474	100
20	71.800003	86.099998	4474	100


